categoryOrder,category,name,description,price,fileName,image_url,slug,isNew,isDeleted
3,Salads,Asian chicken salad,"Grilled chicken, crisp vegetables, and sesame-forward dressing.",1,Asian chicken salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Asian%20chicken%20salad.png?alt=media&token=692f75e3-b8cb-4ec9-95bc-e86b995b36af,,FALSE,FALSE
5,Greek yogurt Bar,Baklava greek frozen yogurt,"Naturally high protein and rich in flavor, Greek frozen yogurt with baklava",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Baklava%20greek%20frozen%20yogurt.png?alt=media&token=affe184b-fb13-42e1-baf4-361120c66d46,,FALSE,FALSE
5,Greek yogurt Bar,Banana crumble greek yogurt greek frozen yogurt,"Naturally high protein and rich in flavor, Greek frozen yogurt with bananas and cookie crumble",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Banana%20crumble%20greek%20yogurt.png?alt=media&token=d7161a91-87e8-4523-82a9-335520e947cb,,FALSE,FALSE
9,Sauce,Basil pesto,Classic basil pesto with olive oil and nuts.,1,basil pesto.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/basil%20pesto.png?alt=media&token=84ad1c3e-3a62-4f12-964a-a68ef71f2337,,FALSE,FALSE
7,Veggies a la cart,Beet salad,"Tender roasted beets tossed with bright, fresh accents.",1,beet salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/beet%20salad.png?alt=media&token=a4fcaa37-429a-4da1-90b2-c16f734b2ac6,,FALSE,FALSE
5,Greek yogurt Bar,Berries and honey greek frozen yogurt,"Naturally high protein and rich in flavor, Greek frozen yogurt with seasonal fresh berries and lightly sweetened with honey",1,greek yogurt bar.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Berries%20and%20honey.png?alt=media&token=11a52e48-1143-45f7-9d72-1e3aac76ab4c,,FALSE,FALSE
4,Soups and Curries,Bone broth,"Slow-simmered, collagen-rich bone broth.",1,bone broth.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/bone%20broth.png?alt=media&token=88f8ad0f-c410-4f41-995e-43649c267e33,,FALSE,FALSE
1,Combo plate,Build your own,"Curate your perfect plate. Choose a protein, two sides, and a sauce to create a meal that fits your moment.",1,build your own.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/build%20your%20own.png?alt=media&token=202293d1-dbd4-490e-86e2-a6240b3bb3a5,,FALSE,TRUE
3,Salads,Chicken Caesar salad,"Romaine, grilled chicken, shaved parmesan, and Caesar dressing.",1,chicken ceasar salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/chicken%20ceasar%20salad.png?alt=media&token=c2070af6-397c-4c0e-be7c-7548e715971e,,FALSE,FALSE
3,Salads,Chicken chop salad,"Chopped greens, grilled chicken, and classic house dressing.",1,chicken chop salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chicken%20chop%20salad.png?alt=media&token=43832fd0-5c48-44fa-b8cb-55b513dd17e1,,FALSE,FALSE
1,Combo plate,Chicken combo,A well-rounded classic featuring a choice of signature chicken preparations.,1,chicken combo.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chicken%20combo.png?alt=media&token=818cd4e7-bf6c-481e-b755-0e8c9fbbb759,chicken-combo,TRUE,FALSE
6,Proteins a la cart,Chicken tenders,"Golden, crispy chicken tenders with a light, crunchy coating.",1,chicken tenders.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/chicken%20tenders.png?alt=media&token=4c5fc8f3-20f7-4991-bd1b-97f69cc025e5,chicken-tenders,FALSE,FALSE
4,Soups and Curries,Chicken tikka,"Spiced chicken in a rich, warming tikka sauce.",1,chicken tikka soup.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chicken%20tikka.png?alt=media&token=f78d0743-8731-45e8-93d0-b62e1b19c1dc,chicken-tikka,FALSE,FALSE
6,Proteins a la cart,Chili tofu,Crispy tofu tossed in a savory chili sauce with subtle heat and depth.,1,chilli tofu,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/chilli%20tofu.png?alt=media&token=b3dfd5a4-234e-4500-b9cb-a75a0885f8e8,chili-tofu,FALSE,FALSE
6,Proteins a la cart,Chilled edamame tofu,"Silky tofu topped with chilled edamame and light seasoning for a refreshing, plant-based bite.",1,Chilled Edamame Tofu ,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chilled%20Edamame%20Tofu.png?alt=media&token=b6571fd4-e539-4d65-864e-2853a3debf29,chilled-edamame-tofu,FALSE,FALSE
9,Sauce,Chimichurri,"Bright herb sauce with parsley, garlic, and olive oil.",1,chimichurri.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/chimichurri%20sauce.png?alt=media&token=0c7bd101-8b83-4043-813e-9a8ba9e55309,chimichurri,FALSE,FALSE
2,Naan pizza,Coconut curry naan pizza,"Coconut curry sauce topped with vegetables for bold, warming flavor.",1,coconut curry naan pizza.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/green%20goddess%20naan%20pizza.png?alt=media&token=699f566a-9a56-4a55-ab9c-e87a0ef14347,coconut-curry-naan-pizza,FALSE,FALSE
8,Grains a la cart,Coconut rice,Fragrant rice gently cooked with coconut milk.,1,coconut rice.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/coconut%20rice.png?alt=media&token=81d1d79d-d7a2-401f-be90-1109b7cbddd1,coconut-rice,FALSE,FALSE
8,Grains a la cart,Couscous salad,Light couscous tossed with fresh herbs and bright flavors.,1,couscous salad.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/couscous%20salad.png?alt=media&token=0730f502-ee0f-4d0b-91db-da00a6f9d3f8,couscous-salad,FALSE,FALSE
5,Greek yogurt Bar,"Fig, honey & granola greek frozen yogurt","Naturally high protein and rich in flavor, Greek frozen yogurt with fresh figs, crunchy granola and honey",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Fig%2C%20honey%20%26%20granola.png?alt=media&token=0f79ec35-c363-4b88-88ed-3b788343d18d,"fig,-honey-&-granola-greek-frozen-yogurt",FALSE,FALSE
8,Grains a la cart,Garlic noodles,Silky noodles sautéed with garlic and savory umami notes.,1,garlic noodles.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/garlic%20noodles.png?alt=media&token=7099e5f3-dea6-4f01-8e57-ba445884e784,garlic-noodles,FALSE,FALSE
9,Sauce,Greek yogurt herb,Creamy Greek yogurt blended with fresh herbs and lemon.,1,greek yogurt herb,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/greek%20yogurt%20herb.png?alt=media&token=7ec25955-0d52-4407-8de3-e22f644791fd,greek-yogurt-herb,FALSE,FALSE
4,Soups and Curries,Green curry with shrimp,Aromatic green curry with shrimp and coconut milk.,1,green curry with shrimp.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/green%20curry%20with%20shrimp.png?alt=media&token=9b7db88a-cc19-463b-a0ce-3f30f214e3e3,green-curry-with-shrimp,FALSE,FALSE
2,Naan pizza,Green goddess veggie naan pizza,"Creamy green goddess sauce, vegetables, and melty cheese.",1,green goddess veggie naan pizza,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/green%20goddess%20naan%20pizza.png?alt=media&token=699f566a-9a56-4a55-ab9c-e87a0ef14347,green-goddess-veggie-naan-pizza,FALSE,FALSE
6,Proteins a la cart,Grilled chicken breast,"Lean, marinated chicken breast grilled until perfectly charred and juicy.",1,grilled chicken breast.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/grilled%20chicken%20breast.png?alt=media&token=14185d46-430c-485d-b03b-19ffe91ddd40,grilled-chicken-breast,FALSE,FALSE
7,Veggies a la cart,Grilled eggplant,Char-grilled eggplant with smoky depth and a silky finish.,1,grilled eggplant,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/grilled%20eggplant.png?alt=media&token=c6bf4273-6f69-4180-9ca6-585022141bd3,grilled-eggplant,FALSE,FALSE
6,Proteins a la cart,Grilled salmon lightly seasoned,"Simply grilled salmon, lightly seasoned to let the natural flavor shine",1,grilled salmon,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/grilled%20salmon%20lightly%20seasoned.png?alt=media&token=c3c494d9-f160-4270-9a8a-45d071efecd2,grilled-salmon-lightly-seasoned,FALSE,FALSE
7,Veggies a la cart,Half perfect avocado,"Ripe, creamy avocado served simply.",1,half perfect avocado,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/half%20perfect%20avocado.png?alt=media&token=faa5e468-0c84-4ce2-9806-786d0df7d386,half-perfect-avocado,FALSE,FALSE
7,Veggies a la cart,Kale and sweet potatoe,"Hearty kale tossed with roasted sweet potatoes for a balanced, nutrient-dense side.",1,kale and sweetpotatoes.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/kale%20and%20sweet%20potato.png?alt=media&token=96774363-f90f-4f05-8160-f952008b1475,kale-and-sweet-potatoe,FALSE,FALSE
1,Combo plate,Kids build your own plate,"A kid-friendly version of our build-your-own plate, designed for smaller appetites and big smiles.",1,kids build your own.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/kids%20build%20your%20own.png?alt=media&token=fda06cfe-038e-4f02-9f34-7badb4df25d2,kids-build-your-own-plate,FALSE,TRUE
6,Proteins a la cart,Lamb eggplant meatballs,"Juicy lamb blended with roasted eggplant and aromatic spices, baked until tender.",1,lamb eggplant meatballs.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/lamb%20eggplant%20meatballs.png?alt=media&token=5061fae3-aa48-4484-b255-794e691946e8,lamb-eggplant-meatballs,FALSE,FALSE
1,Combo plate,Lamb eggplant meatballs combo,"Tender lamb and eggplant meatballs, slow-cooked with warming spices ajay devgan",1,lamb eggplant meatball combo.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/lamb%20eggplant%20meatball%20%20combo.png?alt=media&token=d22d5749-a0e5-4009-a22e-54266db235f4,lamb-eggplant-meatballs-combo,TRUE,FALSE
4,Soups and Curries,Lentil soup,Hearty lentils cooked with aromatic vegetables and spices.,1,lentil soup.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/lentil%20soup.png?alt=media&token=de3de9cd-ab47-4453-8ee1-62a5da8a4471,lentil-soup,FALSE,FALSE
3,Salads,Macrobiotic salad,"Balanced vegetables, grains, and plant-forward nourishment.",1,macrobiotic salad bowl.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/macrobiotic%20salad.png?alt=media&token=26e246b8-7965-4533-b1d0-38a8231a22d3,macrobiotic-salad,FALSE,FALSE
2,Naan pizza,Margherita naan pizza,"Tomato sauce, mozzarella, and fresh basil on warm naan.",1,magherita naan pizza,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/magherita%20naan%20pizza.png?alt=media&token=11bd7dbb-1caa-4199-ad19-83be0cf42511,margherita-naan-pizza,FALSE,FALSE
6,Proteins a la cart,Miso salmon,"Sustainably sourced salmon glazed with white miso for a rich, savory finish.",1,Miso Salmon,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/miso%20salmon.png?alt=media&token=36bbc8b0-2d05-4b43-abbd-f2e7f3092468,miso-salmon,FALSE,FALSE
1,Combo plate,Miso salmon combo,"Umami-rich miso glazed salmon, thoughtfully prepared and paired with your choice of two nourishing sides.",1,miso salmon combo.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Miso%20salmon%20combo.png?alt=media&token=6c556fa0-acd2-4fc6-90c3-0867a64491af,miso-salmon-combo,FALSE,FALSE
4,Soups and Curries,Nana's chicken noodle,"Classic comfort — tender chicken, noodles, and rich broth.",1,nana's chicken noodle soup.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/nana_s%20chicken%20noodle%20soup.png?alt=media&token=a11cb5e7-cb73-4bfc-9226-db20f3d1a926,nana's-chicken-noodle,FALSE,FALSE
6,Proteins a la cart,Pan roasted salmon,"Crispy-skinned salmon, pan-roasted and finished with gentle heat and seasoning.",1,pan roasted salmon.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Pan%20roasted%20salmon.png?alt=media&token=22cbe546-a723-4e8f-ae9d-863bec618d62,pan-roasted-salmon,FALSE,FALSE
3,Salads,Ponzu salmon noodle salad,"Cold noodles tossed with ponzu, salmon, and crisp vegetables.",1,Ponzu Salmon Noodle Salad,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/ponzu%20salmon%20noodle%20salad.png?alt=media&token=cba88b68-3f9c-492b-873c-a0dfe922ff33,ponzu-salmon-noodle-salad,FALSE,FALSE
